Date,Open,High,Low,Close,Volume
2022-03-24,1901.0,1948.0,1878.0,1902.0,1901300
2022-03-23,1949.0,2002.0,1926.0,1947.0,3260100
2022-03-22,2019.0,2028.0,1880.0,1892.0,2697200
2022-03-18,2005.0,2071.0,2004.0,2010.0,3476600
2022-03-17,2081.0,2090.0,1970.0,2004.0,6046300
2022-03-16,1848.0,1955.0,1827.0,1897.0,5961500
2022-03-15,1721.0,1790.0,1716.0,1790.0,2838700
2022-03-14,1748.0,1810.0,1731.0,1740.0,3834600
2022-03-11,1757.0,1787.0,1700.0,1712.0,3583800
2022-03-10,1819.0,1855.0,1770.0,1802.0,5738200
2022-03-09,1802.0,1808.0,1685.0,1696.0,4921500
2022-03-08,1660.0,1844.0,1627.0,1725.0,7469300
2022-03-07,1764.0,1777.0,1659.0,1691.0,5409000
2022-03-04,1978.0,2015.0,1825.0,1865.0,8575400
2022-03-03,2250.0,2263.0,1961.0,2065.0,13414300
2022-03-02,2010.0,2132.0,1940.0,2104.0,11831500
2022-03-01,1994.0,2117.0,1969.0,2095.0,15578700
2022-02-28,1548.0,1843.0,1517.0,1835.0,15459300
2022-02-25,1478.0,1612.0,1434.0,1582.0,11668800
2022-02-24,1392.0,1458.0,1343.0,1358.0,7671700
2022-02-22,1433.0,1548.0,1370.0,1402.0,13372600
2022-02-21,1498.0,1524.0,1353.0,1410.0,11466500
2022-02-18,1543.0,1675.0,1513.0,1618.0,13237300
2022-02-17,1944.0,1971.0,1593.0,1593.0,12536700
2022-02-16,2250.0,2349.0,1945.0,1993.0,9202000
2022-02-15,2350.0,2371.0,2350.0,2350.0,603000
2022-02-14,2750.0,2924.0,2727.0,2850.0,3253400
2022-02-10,3020.0,3065.0,2788.0,2850.0,4425700
2022-02-09,2800.0,2960.0,2747.0,2946.0,4494900
2022-02-08,2980.0,3035.0,2707.0,2725.0,4365100
2022-02-07,3180.0,3180.0,2929.0,2995.0,3144700
2022-02-04,2829.0,3075.0,2800.0,3060.0,5946600
2022-02-03,2696.0,2876.0,2677.0,2844.0,4527400
2022-02-02,2787.0,2800.0,2702.0,2778.0,3208100
2022-02-01,2542.0,2740.0,2540.0,2637.0,5458300
2022-01-31,2251.0,2510.0,2242.0,2494.0,3590500
2022-01-28,2285.0,2309.0,2164.0,2225.0,2574800
2022-01-27,2476.0,2484.0,2218.0,2226.0,3572500
2022-01-26,2380.0,2466.0,2327.0,2442.0,2547600
2022-01-25,2519.0,2519.0,2365.0,2366.0,2018700
